=== 第 4 次执行计划 ===
  步骤 1: {'method': '物料站', 'params': {}}
  步骤 2: {'method': '多通道固体进样器', 'params': {}}
  步骤 3: {'method': '磁力搅拌工作站', 'params': {}}
  步骤 4: {'method': '管式炉处理工作站', 'params': {}}
  步骤 5: {'method': '纯化工作站', 'params': {}}
  步骤 6: {'method': '离心工作站', 'params': {}}
  步骤 7: {'method': '烘干机', 'params': {}}
  步骤 8: {'method': '电化学-高温炉', 'params': {}}
  步骤 9: {'method': '扣电工作站', 'params': {}}
  步骤 10: {'method': '电化学-点样仪', 'params': {}}
  步骤 11: {'method': '单原子仿酶催化平台', 'params': {}}
  步骤 12: {'method': '质谱工作站', 'params': {}}
  步骤 13: {'method': '荧光光谱工作站', 'params': {}}
